Conversion_ID,Campaign_ID,Customer_ID,Conversion_Date,Conversion_Type,Revenue,Order_Value,Product_Category,Device_Type,Payment_Method,Conversion_Status,Is_New_Customer
CONV00001,CMP022,CUST05044,2025-10-09,Lead,0.00,0.00,Personal Care,Mobile,Credit Card,Completed,No
CONV00002,CMP135,CUST09694,2025-03-22,Purchase,1065.24,1065.24,Grocery,Desktop,Cash on Delivery,Completed,No
CONV00003,CMP016,CUST04596,2025-04-08,Subscription,912.63,912.63,Grocery,Mobile,Debit Card,Completed,No
CONV00004,CMP134,CUST03286,2025-02-19,Purchase,1195.17,1195.17,Grocery,Mobile,Wallet,Completed,No
CONV00005,CMP094,CUST03208,2025-10-24,Purchase,716.55,716.55,Beauty,Mobile,UPI,Completed,No
CONV00006,CMP193,CUST08694,2025-01-24,Purchase,201.59,201.59,Beauty,Mobile,UPI,Completed,No
CONV00007,CMP065,CUST03317,2025-05-17,Purchase,1244.29,1244.29,Fitness,Mobile,UPI,Completed,No
CONV00008,CMP100,CUST07804,2025-04-11,Purchase,61.64,1354.16,Personal Care,Mobile,UPI,Refunded,No
CONV00009,CMP158,CUST06021,2025-02-19,Purchase,2174.50,2174.50,Fashion,Desktop,UPI,Completed,No
CONV00010,CMP135,CUST01265,2025-03-27,Purchase,6743.93,6743.93,Electronics,Mobile,UPI,Completed,No
CONV00011,CMP087,CUST04547,2025-03-15,Purchase,641.09,641.09,Personal Care,Desktop,Credit Card,Completed,Yes
CONV00012,CMP071,CUST09478,2025-11-12,Purchase,3008.92,3008.92,Fitness,Mobile,Credit Card,Completed,Yes
CONV00013,CMP123,CUST03335,2025-03-27,Lead,0.00,0.00,Personal Care,Mobile,UPI,Completed,No
CONV00014,CMP155,CUST04770,2025-11-03,Purchase,1826.52,1826.52,Personal Care,Mobile,Wallet,Completed,No
CONV00015,CMP139,CUST03521,2025-07-19,Purchase,1450.78,1450.78,Fitness,Desktop,UPI,Completed,No
CONV00016,CMP118,CUST02585,2025-10-22,Purchase,3328.90,3328.90,Fitness,Mobile,UPI,Completed,Yes
CONV00017,CMP113,CUST02756,2025-05-23,Purchase,138.00,138.00,Books,Mobile,Credit Card,Completed,No
CONV00018,CMP198,CUST04839,2025-06-18,Subscription,2385.47,2385.47,Electronics,Mobile,Wallet,Completed,Yes
CONV00019,CMP095,CUST00408,2025-11-13,Subscription,0.00,1966.98,Beauty,Desktop,Credit Card,Pending,No
CONV00020,CMP033,CUST04129,2025-09-27,Purchase,1072.72,1072.72,Personal Care,Mobile,UPI,Completed,No
CONV00021,CMP049,CUST08155,2025-01-02,Purchase,0.00,1643.44,Beauty,Mobile,Wallet,Cancelled,No
CONV00022,CMP002,CUST08516,2025-02-02,Purchase,7751.64,7751.64,Electronics,Mobile,Cash on Delivery,Completed,No
CONV00023,CMP016,CUST05665,2025-04-08,Subscription,485.34,485.34,Books,Mobile,Wallet,Completed,No
