Customer_ID,Customer_Segment,City,State,Acquisition_Date,Acquisition_Channel,Customer_Status,Age_Group,Total_Previous_Orders,Lifetime_Value
CUST00001,Inactive Customer,Chennai,Tamil Nadu,2024-11-22,Social Media,Inactive,25-34,5,2745.52
CUST00002,Regular Customer,Pune,Maharashtra,2025-11-20,Display Ads,Active,18-24,8,6918.18
CUST00003,New Customer,Kolkata,West Bengal,2025-11-02,Email,Active,35-44,0,2224.92
CUST00004,Regular Customer,Pune,Maharashtra,2025-12-18,Display Ads,Active,25-34,5,12894.21
CUST00005,Inactive Customer,Lucknow,Uttar Pradesh,2024-03-04,Social Media,Churned,25-34,6,5876.97
CUST00006,Regular Customer,Jaipur,Rajasthan,2025-11-28,Paid Search,Inactive,55+,11,8957.61
CUST00007,Premium Customer,Hyderabad,Telangana,2024-07-31,Social Media,Active,35-44,23,6269.98
CUST00008,Premium Customer,Ahmedabad,Gujarat,2024-05-29,Paid Search,Active,25-34,17,18118.33
CUST00009,Premium Customer,Delhi,Delhi,2024-10-04,Email,Active,25-34,11,26641.74
CUST00010,Regular Customer,Kochi,Kerala,2025-11-28,Affiliate,Active,25-34,2,13684.24
CUST00011,Premium Customer,Delhi,Delhi,2024-10-21,Display Ads,Active,55+,28,29298.80
CUST00012,Regular Customer,Bengaluru,Karnataka,2024-06-29,Affiliate,Active,25-34,8,8254.40
CUST00013,New Customer,Pune,Maharashtra,2025-08-04,Affiliate,Active,25-34,0,2586.90
CUST00014,Premium Customer,Delhi,Delhi,2024-12-04,Paid Search,Active,25-34,28,25220.30
CUST00015,Premium Customer,Indore,Madhya Pradesh,2024-06-28,Paid Search,Active,25-34,24,37575.72
CUST00016,Regular Customer,Hyderabad,Telangana,2025-04-02,Paid Search,Active,35-44,7,11429.16
CUST00017,New Customer,Kolkata,West Bengal,2025-02-19,Social Media,Active,55+,1,1500.37
CUST00018,Regular Customer,Chennai,Tamil Nadu,2025-07-16,Social Media,Active,35-44,10,10645.55
CUST00019,Regular Customer,Jaipur,Rajasthan,2025-01-05,Email,Active,45-54,11,12231.20
CUST00020,New Customer,Kolkata,West Bengal,2024-07-29,Social Media,Active,25-34,1,602.74
CUST00021,Regular Customer,Pune,Maharashtra,2025-11-19,Paid Search,Active,18-24,2,11114.14
CUST00022,Inactive Customer,Pune,Maharashtra,2024-03-11,Display Ads,Inactive,35-44,7,1976.04
CUST00023,Regular Customer,Ahmedabad,Gujarat,2025-01-26,Paid Search,Active,25-34,8,7097.39
CUST00024,Regular Customer,Jaipur,Rajasthan,2024-05-10,Display Ads,Inactive,25-34,2,4769.87
CUST00025,Premium Customer,Ahmedabad,Gujarat,2024-09-10,Display Ads,Active,35-44,12,32998.86
CUST00026,New Customer,Pune,Maharashtra,2024-03-09,Email,Active,35-44,0,2990.47
CUST00027,Regular Customer,Ahmedabad,Gujarat,2025-07-06,Affiliate,Active,45-54,2,9697.23
CUST00028,New Customer,Delhi,Delhi,2024-05-26,Affiliate,Active,45-54,0,3196.61
CUST00029,Regular Customer,Indore,Madhya Pradesh,2025-07-23,Paid Search,Active,35-44,2,9615.64
CUST00030,New Customer,Kolkata,West Bengal,2024-08-18,Referral,Active,35-44,1,1261.95
CUST00031,Regular Customer,Bengaluru,Karnataka,2024-09-18,Paid Search,Active,25-34,7,14390.58
CUST00032,Regular Customer,Indore,Madhya Pradesh,2024-02-10,Paid Search,Active,55+,5,6133.94
CUST00033,New Customer,Pune,Maharashtra,2024-07-13,Social Media,Active,35-44,0,1428.88
CUST00034,New Customer,Hyderabad,Telangana,2025-06-09,Paid Search,Active,25-34,1,2081.82
CUST00035,Regular Customer,Pune,Maharashtra,2024-08-14,Paid Search,Active,35-44,2,8416.77
CUST00036,New Customer,Indore,Madhya Pradesh,2025-05-15,Social Media,Active,45-54,1,2199.69
CUST00037,Inactive Customer,Jaipur,Rajasthan,2024-03-01,Display Ads,Inactive,18-24,1,4336.39
CUST00038,Regular Customer,Jaipur,Rajasthan,2024-03-02,Email,Active,25-34,12,5764.87
CUST00039,Regular Customer,Hyderabad,Telangana,2024-10-20,Email,Active,25-34,10,11388.01
CUST00040,New Customer,Jaipur,Rajasthan,2024-12-28,Paid Search,Active,35-44,1,503.34
CUST00041,Regular Customer,Hyderabad,Telangana,2024-03-23,Email,Active,45-54,3,6433.40
CUST00042,Premium Customer,Indore,Madhya Pradesh,2025-08-02,Affiliate,Active,25-34,9,33215.19
CUST00043,Inactive Customer,Pune,Maharashtra,2025-12-01,Email,Inactive,45-54,1,5430.59
CUST00044,Inactive Customer,Ahmedabad,Gujarat,2024-11-02,Paid Search,Inactive,35-44,7,6787.85
CUST00045,Regular Customer,Kochi,Kerala,2025-05-27,Social Media,Active,55+,2,9140.24
CUST00046,New Customer,Chennai,Tamil Nadu,2024-10-06,Paid Search,Active,35-44,1,2048.94
CUST00047,New Customer,Ahmedabad,Gujarat,2025-09-25,Display Ads,Active,25-34,1,2117.26
CUST00048,New Customer,Mumbai,Maharashtra,2024-11-11,Social Media,Active,35-44,1,1979.74
CUST00049,Regular Customer,Jaipur,Rajasthan,2024-01-27,Paid Search,Active,35-44,7,4473.71
CUST00050,Inactive Customer,Kochi,Kerala,2024-09-05,Social Media,Inactive,18-24,3,2726.85
CUST00051,New Customer,Ahmedabad,Gujarat,2024-11-02,Social Media,Active,18-24,1,2745.32
CUST00052,Inactive Customer,Pune,Maharashtra,2024-12-06,Display Ads,Churned,35-44,6,3393.69
CUST00053,New Customer,Hyderabad,Telangana,2025-12-12,Social Media,Active,35-44,0,3417.54
CUST00054,New Customer,Delhi,Delhi,2024-10-14,Display Ads,Active,35-44,1,1433.89
CUST00055,Regular Customer,Kochi,Kerala,2024-08-02,Social Media,Active,25-34,6,11357.11
CUST00056,New Customer,Indore,Madhya Pradesh,2025-03-09,Referral,Active,45-54,1,781.04
CUST00057,Regular Customer,Ahmedabad,Gujarat,2025-01-03,Referral,Active,35-44,3,7381.97
CUST00058,Inactive Customer,Ahmedabad,Gujarat,2024-12-05,Social Media,Inactive,35-44,2,3048.90
CUST00059,New Customer,Lucknow,Uttar Pradesh,2025-01-18,Referral,Active,18-24,1,1721.05
CUST00060,New Customer,Kochi,Kerala,2024-11-15,Email,Active,35-44,1,1916.22
CUST00061,New Customer,Kolkata,West Bengal,2024-11-03,Paid Search,Active,25-34,0,1233.45
CUST00062,New Customer,Bengaluru,Karnataka,2025-03-12,Display Ads,Active,25-34,1,1040.77
CUST00063,Regular Customer,Kochi,Kerala,2024-07-21,Affiliate,Active,35-44,11,11189.75
CUST00064,New Customer,Jaipur,Rajasthan,2024-11-29,Referral,Active,25-34,0,1812.25
CUST00065,Regular Customer,Ahmedabad,Gujarat,2025-08-24,Social Media,Active,18-24,7,4725.22
CUST00066,New Customer,Bengaluru,Karnataka,2024-09-01,Paid Search,Active,18-24,1,1023.40
CUST00067,Regular Customer,Ahmedabad,Gujarat,2025-05-13,Affiliate,Active,55+,10,8510.17
CUST00068,New Customer,Kolkata,West Bengal,2025-01-28,Social Media,Active,18-24,1,2193.49
CUST00069,Premium Customer,Pune,Maharashtra,2024-08-13,Display Ads,Active,35-44,16,20630.54
CUST00070,Regular Customer,Mumbai,Maharashtra,2024-10-01,Paid Search,Active,25-34,10,8552.43
CUST00071,Premium Customer,Kochi,Kerala,2024-09-10,Affiliate,Active,25-34,22,16268.19
CUST00072,Regular Customer,Kochi,Kerala,2024-12-25,Affiliate,Active,35-44,4,13724.89
CUST00073,New Customer,Jaipur,Rajasthan,2025-07-05,Display Ads,Active,18-24,0,1678.44
CUST00074,Inactive Customer,Ahmedabad,Gujarat,2024-10-10,Display Ads,Churned,35-44,3,5324.26
CUST00075,New Customer,Kolkata,West Bengal,2025-10-09,Social Media,Active,25-34,1,947.53
CUST00076,Regular Customer,Chennai,Tamil Nadu,2025-05-14,Display Ads,Active,25-34,11,10326.19
CUST00077,Premium Customer,Mumbai,Maharashtra,2025-02-11,Email,Active,45-54,34,17968.71
CUST00078,Premium Customer,Chennai,Tamil Nadu,2024-02-19,Email,Active,25-34,28,26266.79
CUST00079,New Customer,Ahmedabad,Gujarat,2025-12-06,Email,Active,35-44,0,2707.97
CUST00080,New Customer,Indore,Madhya Pradesh,2025-02-09,Social Media,Active,18-24,1,885.43
